timestamp,src_ip,dst_ip,protocol,length
2026-06-03 17:58:46.403493,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:58:46.410424,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:58:46.422791,192.168.1.21,142.250.205.78,TCP,742
2026-06-03 17:58:46.427857,192.168.1.21,142.250.205.78,TCP,323
2026-06-03 17:58:46.432185,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:58:46.436261,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:58:46.440177,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:58:46.444033,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:58:46.448661,142.250.205.78,192.168.1.21,TCP,139
2026-06-03 17:58:46.452552,142.250.205.78,192.168.1.21,TCP,97
2026-06-03 17:58:46.456521,142.250.205.78,192.168.1.21,TCP,105
2026-06-03 17:58:46.460336,192.168.1.21,142.250.205.78,TCP,66
2026-06-03 17:58:46.464643,192.168.1.21,142.250.205.78,TCP,105
2026-06-03 17:58:46.468486,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:58:48.187897,192.168.1.21,142.251.223.10,TCP,105
2026-06-03 17:58:48.193695,142.251.223.10,192.168.1.21,TCP,105
2026-06-03 17:58:48.198923,192.168.1.21,142.251.223.10,TCP,66
2026-06-03 17:58:49.978795,142.251.220.106,192.168.1.21,UDP,124
2026-06-03 17:58:49.980117,192.168.1.21,142.251.220.106,UDP,74
2026-06-03 17:58:52.284381,172.64.148.235,192.168.1.21,TCP,90
2026-06-03 17:58:52.290368,192.168.1.21,172.64.148.235,TCP,66
2026-06-03 17:58:52.295284,192.168.1.21,172.64.148.235,TCP,94
2026-06-03 17:58:52.299300,172.64.148.235,192.168.1.21,TCP,66
2026-06-03 17:58:59.194699,192.168.1.21,192.168.1.1,UDP,86
2026-06-03 17:58:59.200831,192.168.1.21,142.251.220.99,UDP,1294
2026-06-03 17:58:59.206626,192.168.1.21,142.251.220.99,UDP,1294
2026-06-03 17:58:59.223538,192.168.1.21,142.251.220.99,UDP,1294
2026-06-03 17:58:59.227762,192.168.1.21,142.251.220.99,UDP,439
2026-06-03 17:58:59.229343,192.168.1.1,192.168.1.21,UDP,114
2026-06-03 17:58:59.230927,142.251.220.99,192.168.1.21,UDP,85
2026-06-03 17:58:59.232283,142.251.220.99,192.168.1.21,UDP,85
